iso_code,year,location,total_cases_year,total_deaths_year,max_stringency_index,population,life_expectancy,max_total_vaccinations,max_people_vaccinated,max_people_fully_vaccinated,total_daily_vaccinations,num_vaccine_types,death_rate_per_100k,vaccination_rate
AFG,2020,Afghanistan,51848.0,2158.0,84.26,41128772,59.12690224,,,,,,5.246935162566974,
AFG,2021,Afghanistan,106054.0,5194.0,56.02,41128772,59.12690224,4674518.0,4142857.0,3753224.0,4697205.0,4.0,12.628628931590761,10.072892523997556
AFG,2022,Afghanistan,49420.0,493.0,19.44,41128772,59.12690224,5751015.0,5082824.0,4420127.0,1044793.0,4.0,1.198674251689304,12.358316946589119
AFG,2023,Afghanistan,23053.0,128.0,,41128772,59.12690224,,,,,,0.31121765561101605,
AFG,2024,Afghanistan,4839.0,25.0,,41128772,59.12690224,,,,,,0.06078469836152658,
AGO,2020,Angola,17149.0,400.0,90.74,35588996,62.13113467,,,,,,1.1239429176366762,
AGO,2021,Angola,53993.0,1346.0,71.59,35588996,62.13113467,11615144.0,7685417.0,3929727.0,11483683.0,1.0,3.7820679178474155,21.594925015586277
AGO,2022,Angola,33928.0,183.0,71.51,35588996,62.13113467,17535411.0,11235059.0,5993792.0,5951864.0,1.0,0.5142038848187793,31.568912480700494
AGO,2023,Angola,1858.0,8.0,,35588996,62.13113467,,,,,,0.022478858352733524,
AGO,2024,Angola,553.0,0.0,,35588996,62.13113467,,,,,,0.0,
ALB,2020,Albania,55380.0,1134.0,89.81,2842318,76.39089034,,,,,,39.897013634646086,
ALB,2021,Albania,151841.0,2053.0,63.89,2842318,76.39089034,2316606.0,1141486.0,1031132.0,2316457.0,4.0,72.22977865249419,40.16039021671748
ALB,2022,Albania,125449.0,409.0,46.3,2842318,76.39089034,2754244.0,1278902.0,1215199.0,432523.0,4.0,14.389663647769181,44.995035741954275
ALB,2023,Albania,1926.0,8.0,,2842318,76.39089034,,,,,,0.28146041364829694,
ALB,2024,Albania,451.0,1.0,,2842318,76.39089034,,,,,,0.03518255170603712,
ARE,2020,United Arab Emirates,200892.0,655.0,89.81,9441138,78.30645695,,,,,,6.937722973649999,
