iso_code,year,life_expectancy
BTN,2002,67.84566543
PHL,2007,69.58190674
URY,2015,77.09925201
TON,2019,72.94212581
BRA,2003,72.30491342
FJI,2006,67.08069927
TON,2016,72.56032607
AUS,2006,81.04245453
ISL,2005,80.90304444
FSM,2001,63.81961029
KEN,2007,58.55063756
ATG,2016,75.54812509
PNG,2011,65.03278821
JAM,2011,72.86139713
SUR,2000,70.55904903
UZB,2009,66.2800996
ECU,2017,77.31252311
NZL,2003,79.05551434
ALB,2013,77.77410839
CHL,2005,78.0049121
ZWE,2021,58.48102238
RUS,2011,69.77052933
HTI,2005,58.63996581
BEN,2020,64.40363479
BFA,2005,55.19811279
KGZ,2000,65.93470005
CYP,2010,81.17822871
MLT,2017,82.05744637
TCD,2011,56.17787256
TON,2021,72.72088222
DNK,2013,80.1645831
LBN,2018,79.36847038
HRV,2003,74.86052687
LTU,2003,71.84648999
PAK,2009,63.92267166
GRD,2008,70.92544169
DZA,2014,75.93393131
GNB,2003,51.43513822
MNE,2004,73.73506539
COM,2018,68.19621524
SAU,2013,77.33139242
CHN,2019,77.31273653
BWA,2000,47.16383585
VEN,2006,74.69093059
GAB,2013,63.25439162
ARG,2003,74.25492535
ZAF,2003,52.93394541
FSM,2003,64.10175678
PRY,2003,75.00581985
GBR,2011,80.64139781
ARE,2017,80.92702059
JOR,2005,73.42688191
CUB,2014,78.1433227
TON,2005,71.97193468
THA,2020,76.50524949
LKA,2008,73.1378661
UKR,2018,72.71826067
MRT,2010,68.45329118
GHA,2010,61.9748058
TGO,2011,59.7945853
LKA,2015,76.44590803
VNM,2019,73.71007094
SOM,2004,49.44567549
TUR,2019,77.61966184
SAU,2005,71.81634573
CYP,2018,82.05668584
KIR,2000,60.08437065
BHS,2000,70.96744554
TCD,2005,52.94619682
TUN,2015,76.78627015
ECU,2006,73.97387898
ARM,2005,72.0754129
FIN,2003,78.41020069
PSE,2020,75.1341365
LVA,2014,74.4358747
ESP,2020,81.92498871
TJK,2006,68.48925177
